YEAR,MO,DY,HR,CloudCover,SolarIrradiance,Temp2m,DewPoint2m,Humidity2m,SolarZenith,Forecasted_SW_DWN
2017,10,7,0,33.98,0.0,22.68,18.77,78.74,90.0,0.0
2017,10,7,1,9.34,0.0,22.6,18.6,78.25,90.0,0.0
2017,10,7,2,31.49,0.0,22.42,18.45,78.42,90.0,0.0
2017,10,7,3,49.0,0.0,22.12,18.31,79.23,90.0,0.0
2017,10,7,4,51.58,0.0,21.83,18.17,79.96,90.0,0.0
2017,10,7,5,33.35,0.0,21.63,17.99,79.97,90.0,0.0
2017,10,7,6,5.22,138.3,22.68,19.35,81.8,79.26,140.07
2017,10,7,7,5.78,353.42,26.37,20.18,68.99,67.37,357.7
2017,10,7,8,11.38,563.88,30.62,17.58,45.89,55.7,570.15
2017,10,7,9,19.14,725.28,32.3,16.61,39.23,45.53,736.88
2017,10,7,10,7.22,828.72,33.15,16.96,38.15,38.13,841.4
2017,10,7,11,24.81,832.5,32.7,18.22,42.35,35.34,854.72
2017,10,7,12,34.44,795.67,32.46,19.05,45.18,38.19,823.67
2017,10,7,13,19.13,664.4,32.32,19.17,45.88,45.63,693.47
2017,10,7,14,27.16,507.25,32.04,19.5,47.57,55.82,532.17
2017,10,7,15,27.05,306.05,32.28,18.4,43.84,67.51,327.95
2017,10,7,16,6.9,121.7,30.38,18.67,49.69,79.46,122.47
2017,10,7,17,8.29,0.0,27.14,21.33,70.75,90.0,0.0
2017,10,7,18,8.23,0.0,26.21,19.75,67.72,90.0,0.0
2017,10,7,19,5.7,0.0,25.89,18.91,65.48,90.0,0.0
2017,10,7,20,8.21,0.0,25.58,18.19,63.78,90.0,0.0
2017,10,7,21,7.5,0.0,25.08,17.7,63.71,90.0,0.0
2017,10,7,22,11.35,0.0,23.89,17.87,69.15,90.0,0.0
2017,10,7,23,11.35,0.0,22.9,18.0,74.01,90.0,0.0
2017,10,8,0,13.24,0.0,22.34,17.93,76.15,90.0,0.0
2017,10,8,1,8.43,0.0,22.39,17.66,74.72,90.0,0.0
2017,10,8,2,9.45,0.0,22.23,17.57,75.03,90.0,0.0
2017,10,8,3,11.35,0.0,22.13,17.46,75.03,90.0,0.0
2017,10,8,4,13.22,0.0,22.01,17.36,75.07,90.0,0.0
2017,10,8,5,10.71,0.0,21.71,17.32,76.26,90.0,0.0
2017,10,8,6,15.73,113.43,22.61,18.78,79.23,79.43,118.03
2017,10,8,7,11.29,318.8,26.27,19.81,67.85,67.53,324.55
2017,10,8,8,7.53,525.4,29.69,17.56,48.46,55.9,532.67
2017,10,8,9,6.45,696.75,31.87,16.24,39.27,45.78,698.55
2017,10,8,10,9.8,796.75,32.33,16.6,39.01,38.46,801.78
2017,10,8,11,4.64,823.17,32.43,17.54,41.15,35.72,825.67
2017,10,8,12,6.53,780.88,32.46,17.91,42.08,38.57,789.95
2017,10,8,13,17.74,673.0,32.19,18.23,43.58,45.97,684.5
2017,10,8,14,11.45,513.17,32.15,18.5,44.49,56.13,519.95
2017,10,8,15,10.43,310.02,32.37,17.11,40.18,67.79,314.5
2017,10,8,16,1.99,111.28,30.58,17.79,46.64,79.79,111.8
2017,10,8,17,3.14,0.0,27.7,20.24,64.02,90.0,0.0
2017,10,8,18,1.26,0.0,27.18,18.17,57.89,90.0,0.0
2017,10,8,19,2.52,0.0,27.1,17.06,54.23,90.0,0.0
2017,10,8,20,4.4,0.0,26.42,16.75,55.45,90.0,0.0
2017,10,8,21,7.6,0.0,25.18,16.96,60.57,90.0,0.0
2017,10,8,22,1.08,0.0,23.62,17.58,68.99,90.0,0.0
2017,10,8,23,6.31,0.0,22.4,17.85,75.53,90.0,0.0
2017,10,9,0,5.68,0.0,21.81,17.74,77.7,90.0,0.0
2017,10,9,1,2.52,0.0,21.54,17.55,78.08,90.0,0.0
2017,10,9,2,2.52,0.0,21.49,17.4,77.57,90.0,0.0
2017,10,9,3,1.26,0.0,21.63,17.24,76.13,90.0,0.0
2017,10,9,4,2.52,0.0,21.93,16.98,73.53,90.0,0.0
2017,10,9,5,1.26,0.0,23.24,16.23,64.76,90.0,0.0
2017,10,9,6,8.91,110.95,24.5,17.13,63.57,79.61,111.45
2017,10,9,7,9.22,307.0,27.25,18.19,57.87,67.69,312.88
2017,10,9,8,11.34,510.33,30.9,16.25,41.44,56.1,519.9
2017,10,9,9,11.64,677.53,32.18,15.56,36.87,46.05,685.58
2017,10,9,10,2.4,789.7,32.6,16.33,37.78,38.79,792.33
2017,10,9,11,7.79,806.38,32.56,17.1,39.75,36.1,811.83
2017,10,9,12,8.72,773.2,32.78,17.29,39.71,38.95,778.95
2017,10,9,13,7.99,661.9,32.66,17.52,40.56,46.31,675.35
2017,10,9,14,4.76,509.33,32.54,17.82,41.63,56.44,512.45
